,时间,大红门街道,大红门街道_root,相对偏差
509,2018-11-26 19:00:00,310.4600937171274,271.1,0.14518662381824923
510,2018-11-26 18:00:00,281.9015553143316,241.6,0.16681107332090886
511,2018-11-26 17:00:00,281.5188838921422,232.8,0.2092735562377241
512,2018-11-26 16:00:00,279.8206445153737,240.8,0.16204586592763165
513,2018-11-26 15:00:00,264.7490699418346,255.4,0.03660559883255515
514,2018-11-26 14:00:00,285.09244268645733,269.1,0.059429367099432584
515,2018-11-26 13:00:00,305.5411319011062,276.7,0.10423249693207888
516,2018-11-26 12:00:00,290.8346507645282,279.7,0.039809262654730795
517,2018-11-26 11:00:00,269.0742868782541,257.2,0.046167522854798256
518,2018-11-26 10:00:00,234.87958692085869,235.9,0.004325617122260791
519,2018-11-26 09:00:00,208.85602330082918,242.0,0.13695858140153233
520,2018-11-26 08:00:00,205.8581133182757,238.6,0.1372250070482996
521,2018-11-26 07:00:00,224.6804265856897,223.6,0.004831961474462019
522,2018-11-26 06:00:00,206.97508977051515,187.0,0.1068186618744126
523,2018-11-26 05:00:00,196.1609007541065,178.7,0.09771069252437896
524,2018-11-26 04:00:00,196.59449710691217,173.8,0.13115360821008146
525,2018-11-26 03:00:00,191.55712033460787,171.4,0.11760280241894905
526,2018-11-26 02:00:00,176.89347388299126,161.1,0.09803521963371363
527,2018-11-26 01:00:00,167.77480066491913,152.8,0.098002622152612
528,2018-11-26 00:00:00,148.30706823752934,143.2,0.03566388434028874
529,2018-11-25 23:00:00,140.37492708326215,125.9,0.11497162099493363
530,2018-11-25 22:00:00,141.45994960964345,122.5,0.1547750988542322
531,2018-11-25 21:00:00,137.75675399198542,112.6,0.2234169981526237
532,2018-11-25 20:00:00,113.8566300389424,93.6,0.2164169875955385
533,2018-11-25 19:00:00,92.23289120105552,76.0,0.21359067369809898
534,2018-11-25 18:00:00,67.46450807253913,64.1,0.05248842546862931
535,2018-11-25 17:00:00,59.19819514470929,56.8,0.04222174550544527
536,2018-11-25 16:00:00,54.33729731353869,54.4,0.001152622912891676
537,2018-11-25 15:00:00,62.2337911381399,54.5,0.14190442455302568
538,2018-11-25 14:00:00,69.37710949629668,58.8,0.1798828145628688
539,2018-11-25 13:00:00,60.47078435466384,52.6,0.1496346835487422
540,2018-11-25 12:00:00,64.71284880064964,56.8,0.13931071832129652
541,2018-11-25 11:00:00,73.31512227463797,61.8,0.18632883939543649
542,2018-11-25 10:00:00,86.40038374097533,77.1,0.12062754527853872
543,2018-11-25 09:00:00,100.13427764991194,113.8,0.12008543365630985
544,2018-11-25 08:00:00,114.67080258617038,147.6,0.2230975434541302
545,2018-11-25 07:00:00,143.06681714496784,165.4,0.13502528932909408
546,2018-11-25 06:00:00,147.3052205994136,164.8,0.10615764199384965
547,2018-11-25 05:00:00,139.54892289466363,145.5,0.040900873576194964
548,2018-11-25 04:00:00,149.98664655661273,153.5,0.02288829604812556
549,2018-11-25 03:00:00,161.62468677572707,163.8,0.013280300514486816
550,2018-11-25 02:00:00,168.66394010967483,162.8,0.03601928814296569
551,2018-11-25 01:00:00,169.82102316037594,160.4,0.058734558356458466
552,2018-11-25 00:00:00,166.71192905793018,163.2,0.02151917314908204
553,2018-11-24 23:00:00,161.307609671672,159.5,0.011332975997943558
554,2018-11-24 22:00:00,162.03605282218447,162.1,0.0003944921518539246
555,2018-11-24 21:00:00,172.78905809029897,165.0,0.04720641266847858
556,2018-11-24 20:00:00,179.99053693370928,169.7,0.060639581223979326
557,2018-11-24 19:00:00,167.5202352358351,162.2,0.032800463846085696
558,2018-11-24 18:00:00,155.7274486629487,158.0,0.014383236310451337
559,2018-11-24 17:00:00,135.33214971635897,145.9,0.07243214724908181
560,2018-11-24 16:00:00,99.1933935335392,106.2,0.0659755787802336
561,2018-11-24 15:00:00,111.69591840189264,117.5,0.04939643913282859
562,2018-11-24 14:00:00,109.00451111174695,109.2,0.001790191284368613
563,2018-11-24 13:00:00,120.18381871248661,111.8,0.07498943392206275
564,2018-11-24 12:00:00,100.72294598975702,90.3,0.11542575846907005
565,2018-11-24 11:00:00,84.64252801100375,73.9,0.14536573763198568
566,2018-11-24 10:00:00,52.64664127790261,50.7,0.038395291477368976
567,2018-11-24 09:00:00,63.39995705422454,57.0,0.1122799483197287
568,2018-11-24 08:00:00,57.00002038773673,59.8,0.046822401542863955
569,2018-11-24 07:00:00,48.902027449358584,53.5,0.08594341216152178
570,2018-11-24 06:00:00,47.74677791309608,54.2,0.11906313813475868
571,2018-11-24 05:00:00,48.928779151163596,60.4,0.18992087498073515
572,2018-11-24 04:00:00,74.55229787977146,71.2,0.04708283539004853
573,2018-11-24 03:00:00,83.36249505717021,79.7,0.04595351389172151
574,2018-11-24 02:00:00,92.83501918460362,94.1,0.013442941715158028
575,2018-11-24 01:00:00,93.63460981702897,91.0,0.02895175623108762
576,2018-11-24 00:00:00,89.73398293069377,87.4,0.026704610191004167
577,2018-11-23 23:00:00,87.31423969950754,88.5,0.013398421474491088
