,时间,卢沟桥乡,卢沟桥乡_root,相对偏差
523,2018-11-26 05:00:00,152.0486649039767,101.1,0.5039432730363669
524,2018-11-26 04:00:00,139.5469847826068,90.8,0.5368610658877403
525,2018-11-26 03:00:00,178.58304213336635,104.2,0.7138487728729975
526,2018-11-26 02:00:00,206.63399168588404,146.9,0.40663030419253937
527,2018-11-26 01:00:00,202.88701046404586,149.7,0.3552906510624307
528,2018-11-26 00:00:00,166.09271962210042,126.6,0.31194881218088805
529,2018-11-25 23:00:00,155.8587112934075,105.5,0.4773337563356162
530,2018-11-25 22:00:00,154.7415062052378,99.1,0.5614682765412494
531,2018-11-25 21:00:00,159.40506720190282,99.5,0.602060976903546
532,2018-11-25 20:00:00,140.06833697922218,89.5,0.5650093517231528
533,2018-11-25 19:00:00,130.22621727144787,78.6,0.6568221026901765
534,2018-11-25 18:00:00,93.6697096351611,63.5,0.4751135375615921
535,2018-11-25 17:00:00,92.36270846440786,58.8,0.5707943616395895
536,2018-11-25 16:00:00,94.70120621735472,60.1,0.575727224914388
537,2018-11-25 15:00:00,100.05886715246365,64.3,0.5561254611580662
538,2018-11-25 14:00:00,107.70031852882323,65.1,0.6543827731002034
539,2018-11-25 13:00:00,95.0255884895367,59.7,0.5917184001597436
540,2018-11-25 12:00:00,83.25495483349272,52.4,0.5888350159063497
541,2018-11-25 11:00:00,95.1119319787367,62.7,0.5169367141744291
542,2018-11-25 10:00:00,139.27611769574565,84.2,0.6541106614696633
543,2018-11-25 09:00:00,131.67775396060506,83.0,0.5864789633807839
544,2018-11-25 08:00:00,129.726591879222,82.5,0.5724435379299638
545,2018-11-25 07:00:00,128.15200764977106,92.3,0.3884291186324059
546,2018-11-25 06:00:00,136.52803486777572,97.2,0.40460941221991475
547,2018-11-25 05:00:00,147.06116358808254,103.9,0.41541062163698295
548,2018-11-25 04:00:00,160.49114182750293,113.9,0.4090530450175849
549,2018-11-25 03:00:00,164.4200275631851,114.2,0.4397550574709728
550,2018-11-25 02:00:00,166.62460955609018,114.2,0.4590596283370418
551,2018-11-25 01:00:00,170.99954144927494,132.5,0.29056257697565996
552,2018-11-25 00:00:00,194.20304788008772,122.5,0.5853310031027569
553,2018-11-24 23:00:00,206.12139564149027,134.9,0.5279569728798388
554,2018-11-24 22:00:00,226.243193681217,149.7,0.5113105790328458
555,2018-11-24 21:00:00,217.7140254887029,143.6,0.5161143836260649
556,2018-11-24 20:00:00,209.29124863341917,142.9,0.4645993606257464
557,2018-11-24 19:00:00,207.55631594281598,140.0,0.482545113877257
558,2018-11-24 18:00:00,190.98815277277737,123.7,0.5439624314695017
559,2018-11-24 17:00:00,146.91835886445926,97.4,0.5084020417295612
560,2018-11-24 16:00:00,151.44343809859288,102.7,0.4746196504244681
561,2018-11-24 15:00:00,131.88577458123058,92.1,0.43198452314039726
562,2018-11-24 14:00:00,119.80438828538857,78.3,0.5300688159053457
563,2018-11-24 13:00:00,138.87014079775696,89.8,0.5464380935162245
564,2018-11-24 12:00:00,111.63763674184898,73.0,0.5292826950938216
565,2018-11-24 11:00:00,78.59998310029232,59.2,0.32770241723466753
566,2018-11-24 10:00:00,42.14181197833981,41.7,0.010595011470978582
567,2018-11-24 09:00:00,55.21674222384641,47.0,0.17482430263503
568,2018-11-24 08:00:00,62.75218479492349,48.4,0.2965327436967663
569,2018-11-24 07:00:00,68.17080762489176,41.1,0.6586571198270502
570,2018-11-24 06:00:00,58.51236251082739,46.9,0.24759834777883558
571,2018-11-24 05:00:00,58.9529068024609,47.9,0.23074962009312952
572,2018-11-24 04:00:00,71.63343358797883,57.3,0.2501471830362798
