,时间,南苑街道,南苑街道_root,相对偏差
540,2018-11-25 12:00:00,67.8214949198119,83.8,0.19067428496644512
541,2018-11-25 11:00:00,79.01778927269945,81.9,0.035191828172168
542,2018-11-25 10:00:00,97.99128392138616,101.8,0.03741371393530296
543,2018-11-25 09:00:00,131.51581942275678,135.7,0.0308340499428387
544,2018-11-25 08:00:00,155.22164897936835,167.1,0.07108528438439043
545,2018-11-25 07:00:00,163.09136313837118,173.0,0.05727535758166949
546,2018-11-25 06:00:00,160.02642876441962,176.4,0.09282069861440127
547,2018-11-25 05:00:00,171.0222575722815,174.2,0.018241919791725025
548,2018-11-25 04:00:00,177.60397403144964,176.7,0.005115868882001415
549,2018-11-25 03:00:00,159.81039603014648,182.3,0.12336590219338196
550,2018-11-25 02:00:00,160.91563528862383,175.4,0.08257904624501809
551,2018-11-25 01:00:00,180.61484547220314,175.2,0.03090665223860248
552,2018-11-25 00:00:00,182.37584719608117,171.9,0.06094151946527726
553,2018-11-24 23:00:00,181.2342476106199,166.4,0.08914812265997525
554,2018-11-24 22:00:00,182.3355269996245,166.7,0.09379440311712368
555,2018-11-24 21:00:00,190.33653643042243,173.1,0.09957560040683093
556,2018-11-24 20:00:00,190.41914269454224,163.4,0.16535583044395494
557,2018-11-24 19:00:00,189.202209460314,167.9,0.12687438630324005
558,2018-11-24 18:00:00,178.12163696470725,165.7,0.0749646165643166
559,2018-11-24 17:00:00,164.16263581416374,159.4,0.029878518282081115
560,2018-11-24 16:00:00,119.59283938325986,124.1,0.03631878015100836
561,2018-11-24 15:00:00,131.0447433836233,122.6,0.06888045174244142
562,2018-11-24 14:00:00,128.5385268317199,121.3,0.05967458228952934
563,2018-11-24 13:00:00,139.9657314376692,124.2,0.12693825634194206
564,2018-11-24 12:00:00,117.68235560609952,116.7,0.00841778582775936
565,2018-11-24 11:00:00,81.76599681500755,88.5,0.0760904314688412
566,2018-11-24 10:00:00,47.74285422774906,64.1,0.25518168131436714
567,2018-11-24 09:00:00,58.9542708008227,73.0,0.19240724930379866
568,2018-11-24 08:00:00,52.62402620788609,67.7,0.222687943753529
569,2018-11-24 07:00:00,41.10927607708783,75.0,0.4518763189721623
