,时间,西罗园街道,西罗园街道_root,相对偏差
554,2018-11-24 22:00:00,169.09715875123027,81.3,1.0799158517986505
555,2018-11-24 21:00:00,170.29612922976668,80.4,1.1181110600717248
556,2018-11-24 20:00:00,179.36853841308545,79.7,1.2505462787087258
557,2018-11-24 19:00:00,170.26539476587783,83.7,1.0342341071192094
558,2018-11-24 18:00:00,157.1446419046174,74.7,1.103676598455387
559,2018-11-24 17:00:00,132.29250561151525,69.4,0.9062320693301908
560,2018-11-24 16:00:00,104.60170374871588,51.1,1.047000073360389
561,2018-11-24 15:00:00,109.60185239893708,52.7,1.0797315445718612
562,2018-11-24 14:00:00,108.797815317639,51.0,1.1332904964242942
563,2018-11-24 13:00:00,118.36065654235846,54.6,1.1677775923508875
564,2018-11-24 12:00:00,101.30609368509009,48.7,1.0802072625275172
565,2018-11-24 11:00:00,78.44470668236721,42.3,0.8544847915453243
570,2018-11-24 06:00:00,51.32116389027179,31.5,0.6292432981038664
571,2018-11-24 05:00:00,57.33935985060974,30.6,0.8738352892356123
572,2018-11-24 04:00:00,72.51133054959816,35.9,1.0198142214372747
573,2018-11-24 03:00:00,84.70589933044282,42.0,1.0168071269153052
574,2018-11-24 02:00:00,97.28415234854806,46.4,1.0966412144083635
575,2018-11-24 01:00:00,96.7966038910539,47.5,1.0378232398116611
576,2018-11-24 00:00:00,90.81752817256616,44.4,1.045439823706445
577,2018-11-23 23:00:00,96.36693544124215,48.3,0.9951746468166077
578,2018-11-23 22:00:00,103.87918016623817,48.9,1.1243186128065066
579,2018-11-23 21:00:00,101.20310428734574,49.0,1.0653694752519538
580,2018-11-23 20:00:00,94.28346402273452,47.7,0.9765925371642455
581,2018-11-23 19:00:00,93.35296490256799,45.7,1.0427344617629757
582,2018-11-23 18:00:00,89.94072182122159,46.3,0.9425641862034901
583,2018-11-23 17:00:00,93.93456672479154,46.3,1.0288243353086726
584,2018-11-23 16:00:00,78.71880057847783,42.4,0.8565754853414582
585,2018-11-23 15:00:00,61.9311344911147,40.0,0.5482783622778674
586,2018-11-23 14:00:00,57.247938776630996,39.9,0.4347854329982706
587,2018-11-23 13:00:00,49.69709640603007,38.0,0.30781832647447555
591,2018-11-23 09:00:00,63.3315614772695,31.0,1.0429535960409517
592,2018-11-23 08:00:00,78.22744156255035,35.6,1.1974000438918637
593,2018-11-23 07:00:00,77.802063608643,37.0,1.1027584759092701
594,2018-11-23 06:00:00,80.65517018410073,36.9,1.1857769697588274
595,2018-11-23 05:00:00,76.51641290652027,37.8,1.0242437276857217
596,2018-11-23 04:00:00,70.62778889039049,35.2,1.0064712752951843
