,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
390,2018-12-01 18:00:00,193.86670334332885,123.4,0.5710429768503148
391,2018-12-01 17:00:00,197.72717815359624,127.3,0.553237848810654
392,2018-12-01 16:00:00,206.68940022546295,134.2,0.5401594651673842
393,2018-12-01 15:00:00,170.11968253991765,118.1,0.44047148636678796
394,2018-12-01 14:00:00,166.0491540027797,112.9,0.47076310011319467
395,2018-12-01 13:00:00,168.40087235408387,114.3,0.47332346766477584
396,2018-12-01 12:00:00,157.2385333487582,115.8,0.35784571112917285
397,2018-12-01 11:00:00,102.80810519465061,82.6,0.24465018395460794
398,2018-12-01 10:00:00,95.90389038807125,71.2,0.34696475264145005
399,2018-12-01 09:00:00,110.57574247351413,77.0,0.4360486035521315
400,2018-12-01 08:00:00,102.79388792459295,79.1,0.2995434630163459
401,2018-12-01 07:00:00,117.30862696985139,79.8,0.47003291942169667
402,2018-12-01 06:00:00,116.74555996887543,77.3,0.5102918495326705
403,2018-12-01 05:00:00,112.1539701639928,80.6,0.3914884635731117
404,2018-12-01 04:00:00,117.71120012665008,86.9,0.35455926497871204
405,2018-12-01 03:00:00,121.7560982673118,92.6,0.31486067243317284
406,2018-12-01 02:00:00,132.45486685709793,101.0,0.31143432531780124
407,2018-12-01 01:00:00,146.8366655468782,106.2,0.3826428017596818
408,2018-12-01 00:00:00,132.68203324311543,110.2,0.20401119095386047
409,2018-11-30 23:00:00,146.88744612407694,104.2,0.4096683889066885
410,2018-11-30 22:00:00,144.52779270603585,104.8,0.3790819914698078
411,2018-11-30 21:00:00,139.7788169035706,104.7,0.33504123117068385
412,2018-11-30 20:00:00,130.7901849443764,103.8,0.26002104956046623
413,2018-11-30 19:00:00,127.55278843267742,100.0,0.27552788432677416
414,2018-11-30 18:00:00,123.74817679762765,96.0,0.28904350830862136
415,2018-11-30 17:00:00,118.43493301137481,93.9,0.2612878914949393
416,2018-11-30 16:00:00,113.64797878831828,92.2,0.23262449878870153
417,2018-11-30 15:00:00,109.1725818504614,88.4,0.23498395758440488
418,2018-11-30 14:00:00,107.84494328273512,87.3,0.2353372655525214
419,2018-11-30 13:00:00,101.26375108859601,84.7,0.19555786409204257
420,2018-11-30 12:00:00,87.4725810735042,74.3,0.1772891126985761
421,2018-11-30 11:00:00,79.1343163574158,70.7,0.1192972610667015
422,2018-11-30 10:00:00,76.26119579690955,66.8,0.14163466761840643
423,2018-11-30 09:00:00,82.72283831716614,69.5,0.19025666643404512
424,2018-11-30 08:00:00,79.1363999108855,68.5,0.15527591110781755
425,2018-11-30 07:00:00,76.0734194736439,66.3,0.1474120584260015
426,2018-11-30 06:00:00,77.06730861232246,65.1,0.18382962538129755
427,2018-11-30 05:00:00,80.03532007006606,67.0,0.19455701597113528
428,2018-11-30 04:00:00,88.30834835821261,68.6,0.287293707845665
429,2018-11-30 03:00:00,77.86992896171664,67.9,0.14683253257314627
430,2018-11-30 02:00:00,85.41753100108903,67.8,0.25984558998656393
431,2018-11-30 01:00:00,80.4828368690588,65.4,0.23062441695808553
432,2018-11-30 00:00:00,69.72886899321378,64.4,0.08274641293810207
433,2018-11-29 23:00:00,69.99118111809119,62.9,0.1127373786659967
434,2018-11-29 22:00:00,69.16118214937225,60.8,0.1375194432462542
435,2018-11-29 21:00:00,65.47262540785263,64.2,0.01982282566748644
436,2018-11-29 20:00:00,56.73153647324677,69.1,0.17899368345518415
437,2018-11-29 19:00:00,56.04920525391439,66.6,0.15842034153281695
438,2018-11-29 18:00:00,57.341947310813026,64.9,0.11645689813847425
439,2018-11-29 17:00:00,58.47151822499876,64.6,0.09486813893190765
440,2018-11-29 16:00:00,57.7445426745029,63.9,0.09632953561028319
441,2018-11-29 15:00:00,55.061217255990215,59.6,0.07615407288607025
442,2018-11-29 14:00:00,53.46436915450451,57.8,0.07501091428192884
443,2018-11-29 13:00:00,57.84516953942814,62.0,0.06701339452535256
444,2018-11-29 12:00:00,61.11423337229589,66.2,0.07682426930066631
445,2018-11-29 11:00:00,58.041692129980554,64.8,0.1042948745373371
446,2018-11-29 10:00:00,53.71128384052637,59.2,0.09271479999110865
447,2018-11-29 09:00:00,50.812070878740336,56.0,0.09264159145106543
448,2018-11-29 08:00:00,51.990675113170965,63.2,0.17736273555109236
449,2018-11-29 07:00:00,59.679853915580026,63.8,0.06457909223228796
450,2018-11-29 06:00:00,63.98854699028158,64.4,0.00638902189003771
451,2018-11-29 05:00:00,71.69567872421172,67.6,0.060586963375913065
452,2018-11-29 04:00:00,83.36893078209948,68.6,0.2152905361822083
453,2018-11-29 03:00:00,86.88553750886987,66.8,0.300681699234579
454,2018-11-29 02:00:00,84.52482535784918,67.3,0.2559409414242078
455,2018-11-29 01:00:00,81.12162165182067,69.1,0.17397426413633404
456,2018-11-29 00:00:00,82.6914021883009,67.6,0.22324559450149267
457,2018-11-28 23:00:00,69.20312671966391,64.6,0.07125583157374489
458,2018-11-28 22:00:00,60.8246328029903,62.6,0.028360498354787544
