,时间,小瓦窑村,小瓦窑村_root,相对偏差
590,2018-11-23 10:00:00,55.10434451262555,47.6,0.15765429648373006
591,2018-11-23 09:00:00,52.26302289131233,48.4,0.07981452254777548
592,2018-11-23 08:00:00,45.192975373966775,43.9,0.029452742003799
593,2018-11-23 07:00:00,41.33086107602498,41.1,0.005617057810826744
594,2018-11-23 06:00:00,42.09094386586749,43.4,0.03016258373577215
595,2018-11-23 05:00:00,41.18687518946216,41.8,0.01466805766836939
596,2018-11-23 04:00:00,45.88611746563879,46.3,0.00893914761039324
597,2018-11-23 03:00:00,69.98402955063598,57.3,0.2213617722624081
598,2018-11-23 02:00:00,79.01406021439564,63.8,0.23846489364256496
599,2018-11-23 01:00:00,93.82268284437852,64.9,0.44564996678549323
600,2018-11-23 00:00:00,90.4395778665944,61.2,0.47777088017311115
601,2018-11-22 23:00:00,80.1012883058547,57.8,0.38583543781755536
602,2018-11-22 22:00:00,73.35122909311903,54.2,0.3533437102051481
603,2018-11-22 21:00:00,58.40262762721113,51.8,0.12746385380716477
604,2018-11-22 20:00:00,43.9602684524651,43.0,0.02233182447593258
605,2018-11-22 19:00:00,36.584619487534006,35.2,0.03933578089585236
625,2018-11-21 23:00:00,23.875361965604004,35.5,0.3274545925181971
626,2018-11-21 22:00:00,34.51944300674848,39.8,0.13267731138822905
627,2018-11-21 21:00:00,43.02290442204981,40.9,0.051904753595349976
628,2018-11-21 20:00:00,39.16086965586586,36.2,0.08179197944380819
650,2018-11-20 22:00:00,31.22762618875825,32.8,0.047938225952492274
651,2018-11-20 21:00:00,50.54173225361097,43.7,0.15656137880116622
652,2018-11-20 20:00:00,48.8423465903861,43.8,0.11512206827365533
653,2018-11-20 19:00:00,45.31908649144863,38.3,0.18326596583416796
654,2018-11-20 18:00:00,38.93209819306136,37.8,0.029949687647125925
663,2018-11-20 09:00:00,31.24733760003705,31.8,0.01737932075355193
664,2018-11-20 08:00:00,36.85918594147718,35.4,0.04121994184963786
