,时间,云岗街道,云岗街道_root,相对偏差
462,2018-11-28 18:00:00,74.05661133674398,46.8,0.5824062251441023
463,2018-11-28 17:00:00,61.05137111368525,46.4,0.3157623084845959
464,2018-11-28 16:00:00,70.84496768207528,47.1,0.5041394412330207
465,2018-11-28 15:00:00,60.987989297132174,47.2,0.29211841731212224
466,2018-11-28 14:00:00,59.194781893539464,45.8,0.29246248675850367
467,2018-11-28 13:00:00,54.03350427792213,45.0,0.2007445395093806
468,2018-11-28 12:00:00,57.68729571885426,45.7,0.2623040638698962
469,2018-11-28 11:00:00,52.31299090009823,37.6,0.3913029494706975
470,2018-11-28 10:00:00,46.630559988607374,34.2,0.36346666633354885
471,2018-11-28 09:00:00,46.31515452062381,30.8,0.5037387831371366
472,2018-11-28 08:00:00,45.97588667090408,30.1,0.5274380953788731
474,2018-11-28 06:00:00,57.63511316997372,34.3,0.6803239991245984
475,2018-11-28 05:00:00,62.26576362688019,43.6,0.4281138446532152
476,2018-11-28 04:00:00,61.24138221407289,46.4,0.3198573753032951
477,2018-11-28 03:00:00,61.33622675017848,43.4,0.4132771140594121
478,2018-11-28 02:00:00,63.53926281999764,43.3,0.46741946466507256
479,2018-11-28 01:00:00,59.5560380781032,44.5,0.33833793433939774
480,2018-11-28 00:00:00,60.09755681334835,42.6,0.4107407702663931
481,2018-11-27 23:00:00,59.688849675159666,39.2,0.5226747366112159
482,2018-11-27 22:00:00,57.74755698881783,33.4,0.7289687721202943
483,2018-11-27 21:00:00,58.14919840619249,37.4,0.5547914012350934
484,2018-11-27 20:00:00,46.518916543195495,33.5,0.3886243744237461
503,2018-11-27 01:00:00,169.0821728885265,56.1,2.01394247573131
504,2018-11-27 00:00:00,226.3435615864817,166.0,0.36351543124386576
505,2018-11-26 23:00:00,245.80877050579812,157.2,0.5636690235737796
506,2018-11-26 22:00:00,303.63747604216957,138.4,1.193912399148624
507,2018-11-26 21:00:00,325.77069956872094,223.7,0.45628386038766633
508,2018-11-26 20:00:00,314.71081708166764,247.6,0.271045303237753
509,2018-11-26 19:00:00,290.9607333346166,224.9,0.2937338076239065
510,2018-11-26 18:00:00,264.7220011453053,207.2,0.27761583564336534
511,2018-11-26 17:00:00,224.2615397568792,179.3,0.2507615156546524
512,2018-11-26 16:00:00,171.4367325964993,129.7,0.3217943916461011
513,2018-11-26 15:00:00,146.1298273477435,116.9,0.25004129467701863
514,2018-11-26 14:00:00,172.3324426558012,122.2,0.4102491215695679
515,2018-11-26 13:00:00,201.91176775594798,169.3,0.19262709838126382
516,2018-11-26 12:00:00,207.27131001189903,184.6,0.12281316366142492
517,2018-11-26 11:00:00,203.77956152581993,173.1,0.1772360573415363
518,2018-11-26 10:00:00,153.3514233251862,122.2,0.2549216311390033
519,2018-11-26 09:00:00,122.70757486127992,91.8,0.3366838220182999
520,2018-11-26 08:00:00,105.08762438527756,89.6,0.1728529507285443
521,2018-11-26 07:00:00,103.07964778820244,84.2,0.22422384546558707
522,2018-11-26 06:00:00,88.95794488969312,77.2,0.15230498561778655
523,2018-11-26 05:00:00,82.54217438174754,69.2,0.19280598817554248
524,2018-11-26 04:00:00,91.90624433150711,71.0,0.29445414551418464
525,2018-11-26 03:00:00,108.68709180477461,76.4,0.42260591367506023
526,2018-11-26 02:00:00,106.16367857556864,103.8,0.02277146989950522
527,2018-11-26 01:00:00,101.93028291678367,86.0,0.18523584786957753
528,2018-11-26 00:00:00,100.54450622393202,75.8,0.3264446731389449
529,2018-11-25 23:00:00,110.98592695246089,74.7,0.48575538088970394
530,2018-11-25 22:00:00,118.5196542258569,75.6,0.5677202939928162
