,时间,南苑乡,南苑乡_root,相对偏差
461,2018-11-28 19:00:00,62.26783842269477,44.4,0.4024287933039364
462,2018-11-28 18:00:00,58.95624839167054,43.7,0.349113235507335
463,2018-11-28 17:00:00,57.53980968492091,44.2,0.30180564898011103
464,2018-11-28 16:00:00,59.93786435085107,45.6,0.3144268497993656
465,2018-11-28 15:00:00,63.98691046612307,46.8,0.36724167662656143
466,2018-11-28 14:00:00,64.56278900131275,49.4,0.3069390486095699
467,2018-11-28 13:00:00,65.12626478149497,51.0,0.2769855839508817
468,2018-11-28 12:00:00,69.27242806924932,52.3,0.3245206131787633
469,2018-11-28 11:00:00,78.66307507494881,52.8,0.48983096732857595
470,2018-11-28 10:00:00,76.75189274026289,57.7,0.33018878232691307
471,2018-11-28 09:00:00,79.557472969515,65.4,0.21647512185802747
472,2018-11-28 08:00:00,69.01317105852272,62.0,0.11311566223423734
473,2018-11-28 07:00:00,62.51633598064693,56.0,0.1163631425115523
474,2018-11-28 06:00:00,68.01518482504403,55.6,0.2232946910979142
475,2018-11-28 05:00:00,58.94899023395201,50.8,0.16041319358173253
476,2018-11-28 04:00:00,56.90828345319307,49.6,0.1473444244595377
477,2018-11-28 03:00:00,54.4655038502185,47.8,0.13944568724306486
478,2018-11-28 02:00:00,50.680936390501905,47.7,0.062493425377398375
479,2018-11-28 01:00:00,52.36945114057565,47.0,0.1142436412888436
480,2018-11-28 00:00:00,55.105050321136915,41.4,0.3310398628293941
481,2018-11-27 23:00:00,52.40098801925694,35.8,0.4637147491412555
482,2018-11-27 22:00:00,47.53236653323739,30.9,0.5382642891015338
502,2018-11-27 02:00:00,107.29535250010629,34.4,2.119050944770532
503,2018-11-27 01:00:00,235.37029633599647,102.2,1.3030361676711981
504,2018-11-27 00:00:00,342.27954826536586,292.7,0.16938690900364153
505,2018-11-26 23:00:00,343.5881350358562,348.2,0.013244873532865489
506,2018-11-26 22:00:00,340.9940316020549,347.1,0.017591381152247492
507,2018-11-26 21:00:00,326.094338100884,308.6,0.05668936520053131
508,2018-11-26 20:00:00,289.2485457406722,272.3,0.06224218046519359
509,2018-11-26 19:00:00,265.8960420042205,250.5,0.061461245525830245
510,2018-11-26 18:00:00,261.8453503386731,233.6,0.12091331480596358
511,2018-11-26 17:00:00,260.5421139848325,229.8,0.13377769358064615
512,2018-11-26 16:00:00,260.2158408131155,241.9,0.07571658045934476
513,2018-11-26 15:00:00,269.85840860789165,253.5,0.06453021147097297
514,2018-11-26 14:00:00,284.6948263791519,271.5,0.04859972883665522
515,2018-11-26 13:00:00,280.21130120140515,274.7,0.020062982167474194
516,2018-11-26 12:00:00,258.3585118572447,261.3,0.01125713028226293
517,2018-11-26 11:00:00,243.39696099578046,247.4,0.016180432515034537
518,2018-11-26 10:00:00,227.16790411298845,256.0,0.11262537455863886
519,2018-11-26 09:00:00,214.16280688115975,245.7,0.12835650435018411
520,2018-11-26 08:00:00,205.9358833656439,236.4,0.12886682163433213
521,2018-11-26 07:00:00,197.6154883175169,221.5,0.1078307525168537
522,2018-11-26 06:00:00,186.29356406293823,198.7,0.06243802685989813
523,2018-11-26 05:00:00,171.59261282232535,180.4,0.048821436683340665
