,时间,小屯公园,小屯公园_root,相对偏差
447,2018-11-29 09:00:00,82.78350530428924,68.6,0.20675663708876446
448,2018-11-29 08:00:00,82.42367974296084,69.9,0.17916566155881025
449,2018-11-29 07:00:00,71.58941493268826,71.4,0.0026528702057178047
450,2018-11-29 06:00:00,77.5668028224193,75.6,0.026015910349461786
451,2018-11-29 05:00:00,88.45132627525011,78.1,0.13253938892765835
452,2018-11-29 04:00:00,90.59773983771215,87.1,0.04015774784973778
453,2018-11-29 03:00:00,96.86224345300856,93.2,0.039294457650306404
454,2018-11-29 02:00:00,90.28976025919353,86.3,0.04623128921429352
455,2018-11-29 01:00:00,92.00053283132456,82.9,0.10977723560101998
456,2018-11-29 00:00:00,92.6757552998043,83.2,0.11389128966110926
457,2018-11-28 23:00:00,89.71879530238976,81.8,0.09680678853777222
458,2018-11-28 22:00:00,90.31465433223208,80.3,0.12471549604274078
459,2018-11-28 21:00:00,95.64463586002927,76.5,0.25025667790887934
460,2018-11-28 20:00:00,88.54514752746235,71.4,0.2401281166311252
461,2018-11-28 19:00:00,88.27092051251472,62.3,0.4168687080660469
462,2018-11-28 18:00:00,81.79074445342837,64.9,0.2602580039049055
463,2018-11-28 17:00:00,73.10227880087535,63.8,0.1458037429604288
464,2018-11-28 16:00:00,70.8500180136964,62.3,0.1372394544734575
465,2018-11-28 15:00:00,71.45173669032772,60.3,0.18493759022102363
466,2018-11-28 14:00:00,69.74712289011104,56.6,0.2322813231468382
467,2018-11-28 13:00:00,69.50348078416903,53.8,0.2918862599287924
468,2018-11-28 12:00:00,67.28336094890804,51.4,0.30901480445346385
469,2018-11-28 11:00:00,65.43487902120145,49.8,0.31395339400002925
470,2018-11-28 10:00:00,63.53889266502127,42.2,0.5056609636260964
471,2018-11-28 09:00:00,53.83241547102665,44.2,0.21792795183318203
472,2018-11-28 08:00:00,66.98426457331128,50.7,0.3211886503611691
473,2018-11-28 07:00:00,74.4097675069978,53.0,0.4039578774905244
474,2018-11-28 06:00:00,84.13546415197148,70.7,0.1900348536346743
475,2018-11-28 05:00:00,86.21007337960293,78.0,0.10525735102055041
476,2018-11-28 04:00:00,88.55339414877565,80.9,0.09460314151762232
477,2018-11-28 03:00:00,79.45316710650584,77.2,0.029186102415878778
478,2018-11-28 02:00:00,77.62298681977082,62.0,0.25198365838340026
479,2018-11-28 01:00:00,77.42770575410961,65.3,0.18572290588222992
480,2018-11-28 00:00:00,73.09895114213646,57.6,0.26907901288431346
481,2018-11-27 23:00:00,72.83197047825055,59.1,0.23235144633249666
482,2018-11-27 22:00:00,68.1499655837882,57.9,0.17702876655938174
483,2018-11-27 21:00:00,66.2418868877535,50.5,0.31172053243076225
484,2018-11-27 20:00:00,51.26848945680884,37.7,0.3599068821434704
486,2018-11-27 18:00:00,46.46793058158396,33.2,0.3996364633007215
487,2018-11-27 17:00:00,44.08262413109862,32.2,0.3690255941334974
488,2018-11-27 16:00:00,41.17340602380736,31.0,0.32817438786475356
495,2018-11-27 09:00:00,42.88139500136699,34.4,0.24655218027229625
