,时间,花乡,花乡_root,相对偏差
509,2018-11-26 19:00:00,307.4121775500795,151.1,1.0344948878231601
510,2018-11-26 18:00:00,287.8843581204507,134.3,1.1435916464664981
511,2018-11-26 17:00:00,224.3147659162781,105.1,1.1342984387847586
512,2018-11-26 16:00:00,201.42329625117696,103.4,0.9480009308624463
513,2018-11-26 15:00:00,205.02440792659758,115.9,0.768976772446916
514,2018-11-26 14:00:00,241.66975893386365,139.5,0.7323997056190943
515,2018-11-26 13:00:00,271.8589706791332,155.5,0.7482892005088954
516,2018-11-26 12:00:00,258.46313481924074,149.2,0.7323266408796297
517,2018-11-26 11:00:00,232.73272912652115,139.4,0.6695317727870957
518,2018-11-26 10:00:00,226.28658360955413,125.7,0.8002114845628808
519,2018-11-26 09:00:00,177.19889455494177,84.0,1.1095106494635925
520,2018-11-26 08:00:00,145.77703257613527,79.7,0.8290719269276695
521,2018-11-26 07:00:00,155.80886400114505,87.4,0.7827101144295772
522,2018-11-26 06:00:00,149.055625456097,95.1,0.5673567345541222
523,2018-11-26 05:00:00,147.983859511776,116.7,0.2680707755936246
524,2018-11-26 04:00:00,158.0979153086446,120.0,0.3174826275720382
525,2018-11-26 03:00:00,200.21241087134473,118.6,0.6881316262339354
526,2018-11-26 02:00:00,221.89095033501223,117.6,0.8868278089711925
527,2018-11-26 01:00:00,211.18026542649616,103.2,1.0463204014195364
528,2018-11-26 00:00:00,173.42032771571337,94.4,0.8370797427512009
529,2018-11-25 23:00:00,158.20529043756625,94.1,0.6812464446075054
530,2018-11-25 22:00:00,153.86683517680524,79.6,0.9330004419196639
531,2018-11-25 21:00:00,145.24639363541496,72.6,1.00063903079084
532,2018-11-25 20:00:00,134.1481039007046,63.0,1.1293349825508667
533,2018-11-25 19:00:00,114.14384267945208,58.0,0.96799728757676
534,2018-11-25 18:00:00,94.16341227587213,48.0,0.9617377557473361
535,2018-11-25 17:00:00,72.92030657751637,46.7,0.5614626676127702
536,2018-11-25 16:00:00,70.3435657797544,46.8,0.5030676448665471
537,2018-11-25 15:00:00,81.80738103304638,51.1,0.6009272217817295
538,2018-11-25 14:00:00,87.79960211533651,54.1,0.622913162945222
539,2018-11-25 13:00:00,88.68209148431373,57.0,0.555826166391469
540,2018-11-25 12:00:00,96.83120762006106,59.1,0.6384299089688843
541,2018-11-25 11:00:00,118.92254003529366,67.9,0.7514365248202306
542,2018-11-25 10:00:00,112.0952947736604,69.6,0.6105645800813277
543,2018-11-25 09:00:00,110.76781830163695,82.9,0.336161861298395
544,2018-11-25 08:00:00,123.23996848568581,82.9,0.48660999379596864
545,2018-11-25 07:00:00,131.9329927374424,84.6,0.559491639922487
546,2018-11-25 06:00:00,134.4571817626296,85.0,0.5818491972074071
547,2018-11-25 05:00:00,131.14037560782796,77.1,0.7009127834997143
548,2018-11-25 04:00:00,130.45605931935535,79.3,0.6450953255908619
549,2018-11-25 03:00:00,122.54447818494613,95.4,0.28453331430761136
550,2018-11-25 02:00:00,129.31364740653044,110.6,0.16920115195777977
551,2018-11-25 01:00:00,140.16047639151924,113.8,0.2316386326144046
552,2018-11-25 00:00:00,172.94277484613724,102.2,0.6921993624866657
553,2018-11-24 23:00:00,180.82937143501744,104.4,0.7320821018679831
554,2018-11-24 22:00:00,169.69741421735057,106.2,0.5979040886756174
555,2018-11-24 21:00:00,190.09385862089698,109.2,0.7407862511071152
556,2018-11-24 20:00:00,196.35941430859754,109.9,0.7867098663202686
557,2018-11-24 19:00:00,179.06139781995728,106.2,0.6860771922783171
558,2018-11-24 18:00:00,166.10046669361634,96.2,0.7266160778962197
559,2018-11-24 17:00:00,146.43717691640825,87.9,0.6659519558180687
560,2018-11-24 16:00:00,123.13022829091244,78.5,0.5685379400116235
561,2018-11-24 15:00:00,118.27355560087562,74.3,0.5918378950319735
562,2018-11-24 14:00:00,107.07957688824703,67.0,0.59820264012309
563,2018-11-24 13:00:00,126.53542078857315,68.4,0.8499330524645196
564,2018-11-24 12:00:00,99.18675591973451,62.0,0.5997863858021695
565,2018-11-24 11:00:00,92.45259336776319,53.4,0.7313219731790859
566,2018-11-24 10:00:00,89.41842142117744,51.7,0.7295632770053663
567,2018-11-24 09:00:00,83.65525907505868,51.8,0.6149663914103993
568,2018-11-24 08:00:00,71.82037374980096,49.5,0.4509166414101205
569,2018-11-24 07:00:00,62.49609192238493,47.8,0.30744962180721613
570,2018-11-24 06:00:00,64.68209551176497,46.4,0.3940106791328658
